"","Common name","Image","Origin","First developed","Comment","Use"
"574","Kaiser Wilhelm[18]","","Germany","1864","A large apple(170 gram), Harberts Reinette x unknown. Use November–March.","Eating, Cooking"
"575","Kalemcica[11]","","Montenegro","","A green apple. Russet in stalk cavity. W 70, H 48, We 76. Stalk short to medium. Flesh cream colored, juicy, sweet. Disease resistant. Pick September. Use September - March.","Eating, Cooking, Cider"
"576","Kalmar Glasäpple[13]","","Sweden","18th century[229]","The body is light yellow, and the taste is a mix of acidity and sweetness. H 65, W 78. Stalk 8 - 15mm. Harvesting may begin in early October and it is typically fully ripe in early December.","Cooking, Eating"
"577","Kalterer Böhmer[230]","","South Tyrolean, Austria","<1900","A yellow apple with red flush (75%). W 70, H 55. Flesh, white, subacid, aromatic, good. Pick October. Use November - February.","Eating, Cooking"
"578","Kanzi (Nicoter)","","Belgium","1991","Gala × Braeburn. Crunchy, juicy, sweet, slightly tangier than Gala.","Eating"
"579","Karapash[11]","","Albania","","Yellow to green with red stripes. W 60-70, H 60-70, We 110-150. Stalk short to medium. Flesh white, juicy, sweet, subacid, aromatic. Sensitive to apple scab. Pick late October.","Eating"
"580","Kardinal Bea[144]","","Germany","1930","A German cider apple. Sugar-acid-ratio 15:1. Pick October. Use October - February.","Cider"
"581","Karmijn de Sonnaville","","Wageningen, Netherlands","1949","Yellow ground colour when ripe, with red flush, and russet depending on the season. Large apple, though shape can be irregular.","Cooking (Apple Juice), Eating"
"582","Katy (apple)(syn. Katja)[21]","","Sweden","1947","Early eating apple with red skin and pale cream flesh. W 66, H 60. Stalk 21 mm. Well suited to Northern European climate. Pick early September. Use September - early October.","Eating"
"583","Kavlås[14][13]","","Sweden","<1820","W 80-87, H 70-79. Stalk 20– 30 mm. Flesh juicy, sweet, subacid, good. Pick early October. Use October - December.","Eating"
"584","Kendall[5]","","Geneva, New York","Introduced 1932","Large, dark red. P McIntosh x Zusoff","Eating"
"585","Kent see Malling Kent",NA,NA,NA,NA,NA
"586","Kentucky Long Stem[3]","","Kentucky, US","<1850","Flesh greenish white, sweet, subacid. Use December - March.","Eating"
"587","Kerry Pippin[8]","","County Antrim, Ireland","c. 1805","Pale to golden yellow flesh. Delightful spicy taste. Well suited to Ireland's moist, cool climate. W 54, H 54. Stalk short - medium. Pick late August. Use August - September.","Eating"
"588","Keswick Codlin (syn. Keswick)[21][231][232]","","England","Introduced 1790","A yellow apple. W 74, H 67. Stalk 9 mm. Flesh yellowish white, soft, acid. Pick late August. Use September - October.","Cooking"
"589","Kidd's Orange Red agm[233]","","New Zealand","1924","Cox's Orange Pippin × Delicious. Yellow skin with orange red flush. W 67, H 64. Chewy rather than crunchy.","Eating"
"590","Kim[14]","","Sweden","1955","Yellow apple with red overcolour. W 71, H 66. P Cortland x Ingrid Marie. Pick October. Use December - March.","Eating, Cooking"
"591","King Albert[234]","","England","<1936","Large yellow striped with scarlet. Stalk short.","Cooking"
"592","King David[235]","","England","<1936","Yellow with red stripes. P Jonathan x Winesap. Use October - November.","Cooking, Eating"
"593","King Georg V[8][236]","","Isle of Wight, England","1898","P Cox Orange x unknown. W 69, H 60. Stalk variable. AM from RHS in 1927. Flesh white, crisp, juicy, subacid with pineapple flavour. Pick mid October. Use November - March.","Eating"
"594","King Harry[7][237]","","England","<1892","Pale yellow with russet. Oval-conical. W 64, H 70. Flesh firm, yellow, good. AM from RHS in 1892. Use October - November.","Cooking"
"595","King of the Pippins(syn.Reine des Reinettes or Golden Winter Pearmain)agm[238][18]","","France","<1800","Suitable for more northerly (southerly in the Southern Hemisphere) areas with higher rainfall. W 67, H 57-6, We 110. Stalk 10 – 20 mm. Pick September - October. Use October - February.","Eating, cooking"
"596","King of Tomkins County[7](syn. King Apple, Toms Red, Tommy Red)[3][4]","","N.J. US","","W 74-87, H 60-70. Stalk 19–22 mm. Flesh juicy, tender, vinous, aromatic. AM from RHS in 1900. Triploid. Use December - March.","Eating"
"597","King Russet agm[239]","","United Kingdom","","Russetted form of 'King of the Pippins'","Eating"
"598","King´s Acre Bountiful[7]","","Herefordshire, England","<1904","Creamy white. W 70, H 57. Stalk short. AM from RHS in 1904. Tree very fertile. Use October - November.","Cooking"
"599","King´s Acre Pippin[8][21]","","England","1897","P Sturmer Pippin x Ribston. W 73 - 82, H 67-72. AM from RHS in 1897. Stalk 17 mm. Flesh white, juicy, aromatic. Pick mid October. Use December - March.","Eating"
"600","Kingston Black agm[240]","","","","Small yellow fruits, heavily flushed with deep red. Does not bear or store well. Fruits November","Cider"
"601","Klockhammarsäpple[14]","","Sweden","<1860","A small yellow apple with red stripes. H 54, W 62.","Eating, Cooking"
"602","Knobby Russet (syn. Knobbed Russet; Old Maid´s ;Winter Apple)[6]","","Sussex, England","1819","Green and yellow, with rough and black russet. Unusually irregular, warty and knobbly surface. In use from December to March.","Cider, Eating"
"603","Konfetnoje(syn. Konfetnaja)[31]","","Russia","?","A yellow apple with some red stripes. P Papirova x Korobovka. Flesh pear like aroma. Pick mid - late August.","Eating"
"604","Konsta[31]","","Finland","Introduced 1997","A red apple. P Lobo x Antonovka. Flesh white, subacid, aromatic. Pick mid October.","Eating, Cooking"
"605","Koritschnevoje[31]","","Russia","<1850","A yellow apple with red stripes. Pick September. Use September - October.","Eating"
"606","Koritschnevoje Ananásnoje[31]","","Russia","<1840","Medium size round, green with yellow stripes. Pick September, Use September.","Cooking, Eating"
"607","Koru","","Nelson, South Island, New Zealand","1998","Red and yellow, with yellow spots. Usually regular, with smooth surface. This is a ""found"" cross between Fuji and Braeburn, from a garden where some rotten Fuji apples had been thrown. Said to have balanced tartness & sweetness, said to have flavors of orange, vanilla, honey, & spice (whatever ""spice"" means).","Cider, Cooking Eating"
"608","Kosztela","","Poland","16th century","","Eating"
"609","Krstovaca[11]","","Montenegro","","Yellowish green with red flush. W 67, H 68, We 180. Stalk medium. Flesh, firm, sweet, juicy. Disease resistant. Pick October. Use October - April.","Eating, Cooking"
"610","Krupnaja[11]","","Montenegro","","A greenish-yellow apple. W 74, H 61, We 180. Stalk short to medium. Flesh creamy white, firm, juicy, tasty. Pick early September. Use September - October.","Eating, Cooking"
"611","Kuqula (syn. Mollekuqja)[11]","","Albania","","A yellow apple with red covering (75%). W 50-60, H 60-65, We 80-100. Flesh yellowish white, subacid, sweet, aromatic. Resistant to Venturia ineaqualis and Codling Moth. Pick early October. A good keeper.","Eating"
"612","Lacker[4]","","Pennsylvania, US","<1800","Flesh white, juicy, subacid, aromatic. Use January - March","Eating"
"613","Lady[241][242][243]","","France","<1800","A small apple. W 46, H 33. Stalk 5-6 mm. Flesh white, firm, crisp, tender, juicy, aromatic, mild subacid, good to very good. Use December - May.","Eating"
"614","Lady Alice","","Washington, US","1979","Medium-sized, roundish oblate with thin yellow-green skin with an orange blush and bright red stripes. Crisp yellowish-white flesh is sweet with hints of honey and almond. Don Emmons purchased a neglected orchard of Red Delicious near Gleed, Washington, in 1978. While cultivating between trees, a disc from the plow hit the base of a tree. The injury caused a new shoot to grow from the rootstock (likely a seedling grown from a pip). The shoot was allowed to grow and bear fruit which Mr. Emmons named for his mother, Alice.[244]",""
"615","Lady Henniker[21][7][245]","","Thornham Hill, Suffolk, England","1840-1850","Large, oblong, ribbed. Flesh: Sweet and spicy, firm, rather coarse textured. H 70, W 73. Use November - January.","Eating, Cooking"
"616","Lady´s Sweet(syn. Pommeroy, Roa Yon)[3][246][247][248]","","US","<1860","Yellowish-green with red flush. W 80, H 70. Stalk 14-20 mm. Flesh crisp, tender, juicy with a delicious perfumed flavor, very good to best. Use December - May.","Eating"
"617","Lady Sudely[8][21][7]","","Petworth, England","1849, introduced 1885","A golden yellow apple with 50-100% red flush. W 67-74, H 57-67. Stalk 5-10mm. Flesh: Creamy white, juicy and subacid. Pick mid August. Use August - September","Eating"
"618","Lagatorka[11]","","Montenegro","","Yellow with red stripes (90%). W 74, H 60, We 149. Stalk medium. Flesh very juicy, acid, good. Pick early October. Use October - March.","Eating"
"619","Lakeland[5]","","Minnesota, US","Introduced 1950","A red apple. P Malinda x Unknown.","Eating"
"620","Lancaster Greening(syn. Lancaster Pippin)[3]","","Pennsylvania, US","<1870","A green apple with russet. Flesh yellow, juicy, pleasant, subacid. Use December - May.","Eating"
"621","Landsberger Reinette[6][18][249]","","Gorzow Wielkopolski, Poland","1840","An excellent apple for eating or cooking. Use from October to December. W 87, H 78, We 130. Stalk 14 mm.","Cooking, Eating"
"622","Lane's Prince Albert[7][8][13][18]agm[250][21]","","Berkhampstead, Hertfordshire, England","1841, introduced 1857","Green with orange blush. Makes a good apple crumble for Christmas: peak ripening happens in winter. W 65-85, H 60-70, We 115-200. Stalk 10-20mm. Resistant to scab, very prone to mildew, prone to canker. P Russet Nonpareil x Dumelow´s Seedling. Pick early October. Use December - March.","Cooking"
"623","Langeland[13]","","Denmark","<1800","H 80, W 64. Prone to canker.","Eating"
"624","Langley Pippin[50][7]","","Chelsea, Buckinghamshire, England","","Medium , tall, conical, brightly striped red. Flesh yellowish, soft and well flavoured. P Cox Orange x Gladstone. Use August.","Eating"
"625","Lansingburgh.[4]","","Ohio ? US","<1810","Flesh firm, subacid. Use November - May.","Cooking, Eating"
"626","Large Bough see see Sweet Bough",NA,NA,NA,NA,NA
"627","Late Strawberry(syn. Autumn Strawberry)[3][251][252][253]","","Aurora, N.Y. US","<1848","Whitish with red flush. W 73-79, H 63-69. Stalk 22-24 mm. Flesh, yellow, fine, crisp juicy, vinous, subacid, very good. Use October - December.","Eating"
"628","Lawver[3][28]","","Kansas ? US","<1850","W 61, H 46. Stalk 15 mm. Biennial. Flesh white, firm, crisp, aromatic, subacid. Stalk medium. Use January - May.","Eating"
"629","Laxton´s Advance see Advance",NA,NA,NA,NA,NA
"630","Laxton´s Early Crimson[50][21]","","Bedfordshire, England","Raised 1908. Introduced 1931.","H 51-63, W 51-67. Stalk 17 – 21 mm. A green apple flushed with brownish purple. Flesh very sweet, little acidity. P Worcester Pearmain x Gladstone [es]. Pick Early August. Use August.","Eating"
"631","Laxton's Epicure agm[254][21]","","Bedfordshire, United Kingdom","1909","Aromatic sweet fruit, tendency to biennial habit, bruises easily. H 49-54, W 58-63. Stalk 30–35 mm. Yellow flesh with streaks of red and orange. Pick late August. Use August - September.","Eating"
"632","Laxton´s Exquisite see Exquisite",NA,NA,NA,NA,NA
"633","Laxton´s Favourite[50]","","Bedfordshire, England","Raised 1925, Introduced 1951.","Sweet crisp, juicy flesh.A yellow apple totally flushed and steaked with orange red. Pick late August. Use September - October.","Eating"
"634","Laxton's Fortune see 'Fortune'","",NA,NA,NA,NA
"635","Laxton´s Herald[53]","","Bedfordshire, England","1906","Yellow skinned flushed almost completely with red stripes. Pick late August. Use September.","Eating"
"636","Laxton´s Imperial[255]","","England","1926","Yellow with red flush. P Cox Orange x Allington.","Eating"
"637","Laxton´s Leader[255]","","Bedfordshire, England","1905","A small apple. H 46, W 57. P Gladstone x Worcester Pearmain. Pick August. Use August.","Eating"
"638","Laxton´s Pearmain[255][256]","","Bedfordshire, England","1897","Cellini x Cox Orange Pippin. H 54, W 67.Raised by Laxton brothers.","Eating"
"639","Laxton´s Peerless[53]","","Bedfordshire, England","1900","A large yellow skinned apple with scattered russet. H 72, W 86. Flesh crisp, acid. Pick mid. September. Use September - November.","Eating"
"640","Laxton´s Pioneer[53]","","Bedfordshire, England","1934","Large yellow apple almost completely covered with ared flush and stripes. H 67, W 82. Pick late September. Use October - November.","Eating"
"641","Laxton´s Royalty[257]","","Bedfordshire, England","Raised 1908, Introduced 1932.","Yellow with red flush. H 50, W 63. Cox like aroma. Flesh sweet and juicy. P Cox Orange x Court Pendu Plat.","Eating"
"642","Laxton's Superb[18]","","Bedfordshire, England","1897","P: Cellini × Cox's Orange Pippin. Classic old Victorian, British apple. Green with dull red flush. Firm texture, but not very good juice producer. Prone to scab. Biennial. W 65, H 55, We 105. Stalk 10 – 30 mm. Pick October. Use October - March.","Eating"
"643","Laxton´s Triumph[255]","","Bedfordshire, England","Raised 1902. Introduced 1930.","Yellow with red flush. H 48, W 60. P King of the Pippins x Cox Orange. Flesh aromatic, sharp. Pick October. Use November - January.","Eating"
"644","Laxton´s Victory[53]","","Bedfordshire, England","1926","A yellow apple with brown flush. H 56, W 64. Flesh sweet and aromatic. Pick early September. Use September - October.","Eating"
"645","Lemon Pippin[6]","","England or France","<1744","A medium sized apple. Flesh: firm, crisp, and briskly flavoured. A small tree.","Cooking, Eating"
"646","Lewis Incomparable[8]","","England","<1800","Greenish yellow with(25-75%) orange-red flush. W 80, H 73. Stalk short. Flesh greenish-white, dry, subacid. Pick early October. Use December - February.","Cooking, Eating, Pie"
"647","Liberty","","New York","1978","Very disease-resistant. Very similar appearance to McIntosh, relatively short storage life in air.","Eating"
"648","Limbertwig[4]","","US","<1800","W 78, H 65. Stalk 8 mm. Flesh subacid, rich, aromatic. Use March - April.","Cooking, Eating."
"649","Limelight","","Kent, England","2000","Greensleeves type; abundant cropping and a compact tree. A pale green apple with a smooth finish and occasional pink blush. Crisp flesh and disease resistant tree.","Eating"
"650","Linsenhofener Renette[144]","","Germany","","A green apple with red flush. Flesh juicy, subacid. Pick October. Use November - January.","Cooking"
"651","Liveland Raspberry (syn. Lowland Raspberry)[258]","","Livland Governorate","before 1870(documented)","A white apple with red flush. Flesh very tender, sweet. Pick August.","Eating"
"652","Ljutaca (syn. Kiseljaca)[11]","","Montenegro","","A green apple. Russet in stalk cavity. W 69, H 51, We 111. Stalk medium. Flesh creamy green, juicy, subacid. Pick late October. Use December - June.","Eating, Cooking"
"653","Lobo[14]","","Ottawa, Canada","1897.Selected 1906. Introduced 1930","A McIntosh-style apple. P McIntosh x unknown. Yellow with red overclour. W 73, H 67. Pick October. Use October - March.","Eating"
"654","Loddington[8][259]","","Kent, England","c1820","FCC from RHS in 1877. W 89, H 79. Stalk short. Flesh, soft, juicy, subacid. Pick late September. Use October - December.","Cooking"
"655","Lodgemore Nonpareil (syn. Clissold´s Seedling)[6][7]","","Lodgemore, Gloucestershire, England","1808","This is a dessert apple of great excellence. Flesh crisp, greenish, sweet, juicy, very good. Use from February to May.","Eating"
"656","Lodi[8]","","Ohio, US","1911 Itroduced 1924","Fruit pale yellow flushed with deeper yellow. P Montgomery x Yellow Transparent. H 70, W 70. Resistant to scab. Tangy taste. Use July -August.","Eating"
"657","London Pippin[34]","","England","1580","Yellow with red flush. W 74, H 53-55. Stalk 15mm. Pick October. Use January - March.","Cooking, Eating, Cider"
"658","London Sweet[3]","","Dayton, Ohio, US","<1860","A yellow apple. Stalk short. Flesh whitish, juicy, tender, sweet, aromatic, good to very good. Tree vigorous, productive. Use November - February.","Eating"
"659","Longfield,[28]","","Russia","<1870","W 70-83, H 67-75. Stalk 14-22 mm. Flesh, greenish, crisp, tender, juicy, subacid, aromatic, good to very good.
Use September - October.","Eating"
"660","Long Island Russet[3]","","Long Island, US","<1820","Flesh yellowish, dry, sweet. Use October - February","Cider"
"661","Longstart[92]","","England","1851","A very excellent culinary apple. H 44, W 51. Stalk 25 mm. Use October - December.","Cooking"
"662","Lord Burghley[6][119][21]","","England","Raised 1834, Introduced 1865","Small yellow with brown crimson flush, flesh soft, highly aromatic. W 57-67, H 44-61. Stalk 15 – 20 mm. An excellent winter dessert apple. Tree small. Pick mid October. Use Jan-April.","Eating"
"663","Lord Derby[8][21][7][260]","","Stockport, Cheshire, England","1862","Yellowish green apple. W 83, H 70. Stalk 5 – 6 mm. Strong ribbing. P Forester x Woodford. Flesh pale yellow, subacid. likes cooler weather. Pick late September. Use November - December. Subjet to brown rot.","Cooking"
"664","Lord Grosvenor[50][8][21]","","England","1872","Large conical, pale creamy yellow, cooks to a white froth. Enormous cropper, must be thinned. H 64-82, W 74-88. Stalk 25–28 mm. Pick mid August. Use August - September.","Cooking"
"665","Lord Hindlip[8][21][7][261]","","Worcestershire, England","<1896","Late, high-quality dessert apple for use in December to March. W 64-73, H 73-77. Stalk 15 – 20 mm. Flesh crisp, white, juicy, subacid. First Class Certificate from RHS in 1898. Pick early-mid October. Use December - March.","Eating"
"666","Lord Kitchener[262]","","England","<1900","A green apple with red flush, smaller than Peasgood Nonsuch. P Peasgood Nonsuch x unknown.","Eating, Cooking, Baking"
"667","Lord Lambourne agm[263][21]","","England","1907","James Grieve apple × Worcester Pearmain. Round shape. Orange flush with hint of russet. W 64, H 51. Stalk 15 – 20 mm. Strong acid flavour. Good for domestic cultivation. Award of Merit from RHS in 1923. Pick late September. Use September - November.","Eating"
"668","Lord Raglan[92]","","England","?","An excellent cooking apple. Yellow with red flush. Use March - April.","Cooking."
"669","Lord Suffield[8][34][7]","","Middleton, Lancashire, England","c.1836","A very large cooking apple for use in August–September. W 76-83, H 75. Stalk short - medium. Green apple, no flush. This variety is often subject to canker and rotting on the tree. Pick mid August. Use Aug. - Sep.","Cooking"
"670","Loudon Pippin[3]","","Va. US","<1870","A large oblate apple., yellow with red flush. Stalk short. Flesh yellowish, tender, juicy, subacid, good to very good.. Use December - February.","Eating"
"671","Lowell[4][264][265]","","US","<1848","W 83, H 75. Stalk 22 mm. Flesh greenish-yellow, juicy, subacid, aromatic, good to very good. Use August - September.","Eating, Cooking, Drying"
"672","Lucombe´s Seedling[92]","","Exeter, England","1831","A culinary apple of first rate quality. H 69, W 88. Stalk short and thick. Flesh white, juicy, pleasantly flovoured. Use October - January.","Cooking"
"673","Luiken[144]","","Germany or France","<1900","A yellow apple with red flush. Pick September. Use September - November","Cooking"
"674","Luisenapfel(syn. Prinzessin Luise)[18]","","Canada","1860","W 70, H 66, We 110-200. Stalk 15 – 22 mm. Pick October. Use October - January.","Cooking, Eating"
"675","Lujanca[11]","","Moldova","","Yellow with purple to red stripes (90%). Flesh firm juicy, subacid. Biennial. Thinning is necassary. W 62, H 74, We 75-90. Stalk 20 mm. Disease resistant. Pick late September. Use October - December.","Eating, Cooking"
"676","Lundbytorp[72]","","Denmark","c1900","A green apple with red overcolour. H 68, W 74.","Eating"
"677","Lunow[18]","","Germany","1920","Green apple with red flush. H 58, W 70, We 115. Picking October. Use January - April. Biennal","Cooking"
"678","Luxemburger Reinette(syn. Reinette des Vergers)[34]","","?","<1850","A green apple with red flush. W 71 H 55. Stalk 12 mm. Use February - July.","Eating, Cooking"
"679","Maayan[10]","","Israel","Introduced 1967","P (Calville St. Sauver x Damascus) x Delicious. Flesh juicy, sweet, acid.","Eating"
"680","Mabbott´s Pearmain[92]","","Maidstone, England","1883","Yellow with red flush. H 56, W 56. Stalk very slender. Flesh juicy, sweet , highly flavoured. Use October - December.","Eating"
"681","Maclean´s Favourite[92]","","Colchester, England","1820","A very excellent dessert apple. H 49, W 62. Pick early October. Use October - January.",NA
"682","Macoun[18]","","Geneva, New York","1909/1923","Cold-tolerant. Crunchy. P McIntosh x Jersey Black. Does very well in salads. W 71, H61, We 100-160. Stalk 10-15mm","Eating"
"683","Madresfield Court[8]","","England","<1915","AM from RHS in 1915. Tree is a shy cropper. W 80, H 81. Stalk medium. Flesh greenish-white, juicy, sweet, aromatic. Pick late September. Use October - December.","Eating"
"684","Maglemer[13]","","Lolland, Denmark","<1800","Yellow with red stripes. W 62, H 58. Pick late September. Use November - January.","Eating"
"685","Magog[28]","","Vermont US","<1876","W 80, H 75. Stalk 19 mm. Flesh firm, juicy, aromatic, subacid, good. Use October - January.","Eating"
"686","Maiden's Blush[59][28][266][267]","","Burlington, New Jersey, US","<1817","W 86, H 69. Stalk 19 mm. A thin-skinned, flattened apple. Pale yellow-green skin has a telltale crimson blush on the side that faced the sun. Flesh white, crisp, very juicy, subacid, good. Susceptible to scab. Heavy annual bearer. Good cooker. Excellent variety for drying because the flesh remains white and bright. Use September - November.","Cooking, (Eating)"
"687","Maidstone Favourite[50][7]","","Kent, England","<1913","Flat, even, most delightfully striped with carmine. P Alexander x Beauty of Bath. Flesh crisp, sweet and aromatic. H 48, W 54. AGM from RHS in 1913.","Eating"
"688","Maikki[31]","","Finland","Introduced 1980","A red apple. P Melba x Huvitus. Flesh white, sweet, subacid, aromatic. Pick late august.","Eating"
"689","Make[31]","","Finland","Introduced 1980","A yellow apple with red flush. Flesh juicy, sweet, subacid. P Atlas x Gul Höstkalville. Pick mid September.","Eating"
"690","Malinda","","Vermont, US","1860","Small, conical with sheep's nose; deep, rich yellow with red spots possible. Dry, dense, substantive flesh; mild, pear-like flavour. Tree good in climates with heavy snowfall.","Cooking, Eating"
"691","Malling Kent[21]","","Kent, England","Raised 1949, Introduced 1974","Parentage Cox´s Orange x Jonathan. Size H 58-67, W 64-67. Good keeping properties.","Eating"
"692","Malmbergs Gylling[14]","","Sweden","<1900","W 75, H 58. Stalk short to medium. Flesh juicy, subacid, fair to good. Pick September. Use October - November.","Cooking"
"693","Mangum[4]","","Southern US","<1850","Flesh yellow, tender, juicy, subacid. Use October - November.","Eating"
"694","Manitoba[5]","","Manitoba, Canada","Introduced 1931","A yellow apple. P Duchess of Oldenburg x unknown. Flesh white, crisp, juicy, sicy flavor, subacid. Use November - February.","Eating"
"695","Manitoba Spy[5]","","Manitoba, Canada","Introduced 1931","Large red. P Patten Greening x unknown. Use November - February","Cooking"
"696","Manks Codlin[13]","","Isle of Man","1815 (First fruited)","Pale yellow medium-sized fruit with occasional flush of red. H 50, W 55. Stalk 15 mm. Hardy. Heavy producing. Use November - December.","Cooking"
"697","Mann[28]","","New York, US","<1872","W 84, H 65. Stalk 19 mm. Biennial. Flesh yellowish, juicy, crisp, subacid, fair to good. Use December - April.","Eating"
"698","Mannington´s Pearmain[119]","","Sussex, England","1770","Flesh yellow soft juicy. Old dessert apple, of no great merit. W 67-69 H 58-66. Stem long. Pick early October. Use November - March.","Eating, Cooking"
"699","Mantet[14]","","Manitoba, Canada","Selected 1928. Introduced 1929","Yellow apple with orange overcolour. P Tetofsky x unknown. H 75, W 75. Pick August. Use August. Does not do well in warm climates.","Eating"
"700","Margaret Pratt[5]","","Ontario, Canada","Introduced 1938","Resembles Red Astrakan. P unknown.","Cooking"
"701","Margil[21]","","London ?","1750s","Highly flavoured apple held in very high esteem by connoisseurs. H 51-60 W 54-66. Stalk 13 – 18 mm. Slightly conical in shape, dull green skin with an orange-red blush, some russeting. The yellow flesh is firm, crisp, sugary, and as pomologist Robert Hogg said, ""with a powerful and delicious aromatic flavour."" The very small tree is weak and slender and bears light crops. Because it flowers early, it is susceptible to frost damage. Pick October. It keeps well. Introduced to Brompton Park Nursery from Versailles by Henry Wise in the early 18th century. Pick early October. Use October - January.","Eating"
"702","Martin 1.(syn. McLellan)[3][268]","","Conn. US","<1870","Yellow with red flush. W 73, H 56. Stalk 6-16 mm. Biennial. Flesh, white, juicy, vinous, sweet, very good. Use December - March.","Eating"
"703","Martin 2.[5]","","Louisiana","Introduced 1943","Yellow with red flush. P unknown","Eating"
"704","Mattamusket[3]","","North Carolina US","<1870","Flesh whitish yellow, crisp, subacid, good. Tree vigorous, productive. Use December - March.","Eating"
"705","Mauss Reinette(syn. Love Beauty, Reinette de Multhaupt, Svanetorpsäpple)[13]","","Germany","<1874","A yellow apple with red flush. W 62, H 52. Flesh juicy, subacid. Pick October. Use November - December.","Eating"
"706","May Queen[50][7]","","Worcester, England","1800s","Large, oblate, often russetted yellow apple with bright red blush and stripes. Crisp, greenish-yellow flesh, rich, nutty flavour. Similar texture to Ribston Pippin, and in a good year, its equal in flavour. In bad years it can be rather dry and harsh. Excellent keeper. Heavy annual bearer. AGM from RHS in 1892 H 51, W 62. Use January - May.","Eating"
"707","McAfee(syn. McAfee Nonsuch, McAfee Red)[3]","","Kentucky, US","<1870","Once thought to be gone forever, rediscovered in 2018 in Idaho.[269] Flesh whitish, crisp, subacid, good to very good. Stalk short. Tree very prolific and will produce huge crops of apples when mature. Use December - March.","Eating"
"708","McIntosh[161][270][271]","","Ontario, Canada","1811","A popular, cold-tolerant eating apple in North America. W 73-88, H 67. Stalk 15 mm. Flesh white, very tender, juicy, subacid, aromatic, very good. Use October - December.","Cooking (applesauce), Eating, Pies"
"709","Mc Intosh Rogers(syn. Red McIntosh)[144][21]","","New York, US","1930. Introduced 1932","A red mutant of McIntosh. W 70, H 67. Stalk 10 – 20 mm. Pick mid September. Use October - December.","Cooking, Eating."
"710","McLellan see Martin 1.",NA,NA,NA,NA,NA
"711","Mc Mahon[28]","","Wis. US","c1860","W 94, H 76,. Stalk 29 mm. Flesh white, tender, juicy, subacid, fair to good. Use October - January.","Eating"
"712","Mecklemburger Königsapfel(syn. Roter Brasil)[13]","","Germany","1773","W 65 H 60. Pick October. Use December - March","Cooking, Eating"
"713","Medina[5]","","Geneva, New York","Introduced 1922","P Deacon Jones x Delicious.","Eating"
"714","Mela Carlo(syn. Mela Carla, Male Carle)[6]","","Italy","<1817","A dessert apple of the most exquisite flavour. H 68, W 68. Flesh is as melting as that of the Doyenné pear. Pick October. Use December - March.","Eating"
"715","Melba[14]","","Ottawa, Canada","Raised 1898, Introduced 1909","Green apple with red overcolour. W 73, H 61.","Eating"
"716","Melon American[6][28]","","Connecticut","1800","A first rate dessert apple. W 68-86, H 61-70. Stalk 18–39 mm. Flesh juicy, sweet and vinous. Use December.","Eating"
"717","Melon German(syn. Melonenapfel, Flaschapfel, Nonnetitte, Prinzenapfel, Pomme de Prince)[13]","","Germany","<1788","An oblong apple. Flesh subacid with a pleasant aroma. W 69, H 79. Stalk 12–25 mm. Pick October. Use December - March.","Eating"
"718","Melrose 1. (syn. White Melrose)[6]","","Scotland","<1800","H 76, W 82. Flesh marrow like, with a sweet and sub-acid flavour. Use October - January.","Eating, Cooking"
"719","Melrose 2.[5][10]","","Ohio, US","Selected 1937. Introduced 1944","P Jonathan x Delicious. Flavour improves in storage. Coarse flesh. Biennial. Pick October. Use December - April.","Eating"
"720","Mere de Menage (syn. Bellefleur de France)[13][21]","","France or Ukraine","<1800","Large flat-round apple. H 67, W 77-86. Stalk: Very stout(4-5mm) and short(10-15mm).","Cooking"
"721","Merton Beauty[21]","","England","1932, Introduced 1962","W 56-63, H 45-51. Stalk 20–27 mm. P Ellisons Orange x Cox Orange. A greenish-yellow apple flushed with red. Pick early September. Use September - October.","Eating"
"722","Merton Charm[8][21]","","Surrey, England","Released 1962","H 47-51, W 57. Stalk 10 – 15 mm. P McIntosh x Cox Orange. AM from RHS in 1960. Pick September. Semi-weeping habit, heavy crops of small fruit unless thinned. Pick mid September. Use September - October.","Eating"
"723","Merton Delight[272]","","England","Introduced 1953","P Cox Orange x Golden Russet. Flesh, tender, crisp sweet to subacid.","Eating"
"724","Merton Joy[272]","","England","1946","W 63, H 51. P (Cox Orange x Sturmer Pippin) x Cox Orange. Flesh soft, sweet, aromatic.","Eating"
"725","Merton Knave[21][272]","","England","1948","Greenish yellow with red flush. P Laxton´s Early Crimson x Epicure. W 55 - 70, H 48-62. Stalk 12 – 30 mm. Flesh faily juicy with strong aroma. Pick mid September. Use September.","Eating"
"726","Merton Pippin[272]","","England","Introduced 1948","A large apple. P Cox Orange x Sturmer Pippin. Flesh subacid.","Eating"
"727","Merton Profilic[272]","","England","1914","W 61, H 50. Flesh sweet, subacid. P Northern Greening x Cox Orange.","Eating"
"728","Merton Russet[272]","","England","1921","W 57, H 54. P Sturmer Pippin x Cox Orange. Flesh sweet, subacid.","Eating"
"729","Merton Worcester[21]","","England","1956","W 58, H 55. Stalk 12 – 20 mm. P Cox's Orange Pippin × Worcester Pearmain. AM from RHS in 1950. Developed at John Innes Institute. Pick early September. Use September - October.","Eating"
"730","Metzger[5]","","Seattle, Washington","Selected 1938. Introduced 1948","P Delicious x Unknown. Pick early August.","Eating"
"731","Mexico[4]","","Connecticut, US","<1850","Round medium size apple. Crimson red. Stalk long to medium. Flesh white, juicy, subacid. Use August - September.","Eating"
